,Cas,Drug,SMILES
343,740841-15-0,GSK-3 Inhibitor X,CC(=O)ON=C1C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
344,740841-15-0,GSK-3 Inhibitor X,CC(=O)O/N=C\1/C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
345,740841-15-0,Sdccgsbi-0086756.P003,CC(=O)O/N=C/1\C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
346,740841-15-0,Sdccgsbi-0086756.P003,CC(=O)ON=C1C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
347,740841-15-0,Sdccgsbi-0086756.P003,CC(=O)O/N=C\1/C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
348,740841-15-0,Sdccgsbi-0086756.P003,CC(=O)O/N=C/1\C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
349,740841-15-0,Sdccgsbi-0086756.P003,CC(=O)ON=C1C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
350,740841-15-0,Sdccgsbi-0086756.P003,CC(=O)O/N=C\1/C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
351,740841-15-0,Sdccgsbi-0086756.P003,CC(=O)O/N=C/1\C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
352,740841-15-0,Sdccgsbi-0086756.P003,CC(=O)ON=C1C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
353,740841-15-0,Sdccgsbi-0086756.P003,CC(=O)O/N=C\1/C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
354,345987-15-7,"1,3-Benzothiazol-2-yl(2-((2-(3-pyridinyl)ethyl)amino)-4-pyrimidinyl)acetonitrile",C1=CC=C2C(=C1)N=C(S2)C(C#N)C3=NC(=NC=C3)NCCC4=CN=CC=C4
355,856436-16-3,"2H-Indol-2-one, 1,3-dihydro-5-(3-pyridinyl)-3-(1H-pyrrol-2-ylmethylene)-,monomethanesulfonate",CS(=O)(=O)O.C1=CC(=CN=C1)C2=CC\3=C(C=C2)NC(=O)/C3=C\C4=CC=CN4
356,35943-35-2,Triciribine,CN1C2=NC=NC3=C2C(=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)C(=N1)N
357,896138-40-2,Flt-3 Inhibitor II,C1=CC2=C(C=C1O)C=C(N2)C(=O)C3=CC4=C(N3)C=CC(=C4)O
358,870483-87-7,GW-2580,COC1=CC=C(C=C1)COC2=C(C=C(C=C2)CC3=CN=C(N=C3N)N)OC
359,288144-20-7,Vegfr 2 kinase inhibitor II,C1CCC2=C(C1)C=C(N2)/C=C\3/C4=C(C=CC(=C4)Br)NC3=O
360,257879-35-9,PKCbeta Inhibitor,C1=CC=C(C=C1)NC2=C(C(=O)NC2=O)C3=CN(C4=CC=CC=C43)CCCN5C=CN=C5
361,681281-88-9,5-(2-Benzothiazolyl)-3-ethyl-2-[2-(methylphenylamino)ethenyl]-1-phenyl-1H-benzimidazolium iodide,CC[N+]1=C(N(C2=C1C=C(C=C2)C3=NC4=CC=CC=C4S3)C5=CC=CC=C5)/C=C/N(C)C6=CC=CC=C6.[I-]
362,557795-19-4,Sunitinib,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C
363,905973-89-9,Diphenyl acetamidotrichloroethyl fluoronitrophenyl thiourea,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC3=CC(=C(C=C3)F)[N+](=O)[O-]
364,174709-30-9,Bpiq-i,CN1C=NC2=C1C=C3C(=C2)C(=NC=N3)NC4=CC(=CC=C4)Br
365,172747-50-1,SB 202474,CCC1=C(N=C(N1)C2=CC=C(C=C2)OC)C3=CC=NC=C3
366,356559-13-2,"2-(5-benzo(1,3)dioxol-5-yl-2-tert-butyl-3H-imidazol-4-yl)-6-methylpyridine hydrochloride",CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4.Cl
367,71897-07-9,AG1295,CC1=CC2=NC=C(N=C2C=C1C)C3=CC=CC=C3
368,852547-30-9,"5-Chloro-3-[(3,5-dichloro-4-hydroxyphenyl)methylidene]-1,3-dihydro-2H-indol-2-one",C1=CC2=C(C=C1Cl)C(=CC3=CC(=C(C(=C3)Cl)O)Cl)C(=O)N2
369,852547-30-9,"5-Chloro-3-[(3,5-dichloro-4-hydroxyphenyl)methylidene]-1,3-dihydro-2H-indol-2-one",C1=CC2=C(C=C1Cl)/C(=C\C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
370,852547-30-9,"5-Chloro-3-[(3,5-dichloro-4-hydroxyphenyl)methylidene]-1,3-dihydro-2H-indol-2-one",C1=CC2=C(C=C1Cl)/C(=C/C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
371,852547-30-9,"5-Chloro-3-[(3,5-dichloro-4-hydroxyphenyl)methylidene]-1,3-dihydro-2H-indol-2-one",C1=CC2=C(C=C1Cl)C(=CC3=CC(=C(C(=C3)Cl)O)Cl)C(=O)N2
372,852547-30-9,"5-Chloro-3-[(3,5-dichloro-4-hydroxyphenyl)methylidene]-1,3-dihydro-2H-indol-2-one",C1=CC2=C(C=C1Cl)/C(=C\C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
373,852547-30-9,"5-Chloro-3-[(3,5-dichloro-4-hydroxyphenyl)methylidene]-1,3-dihydro-2H-indol-2-one",C1=CC2=C(C=C1Cl)/C(=C/C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
374,852547-30-9,"5-Chloro-3-[(3,5-dichloro-4-hydroxyphenyl)methylidene]-1,3-dihydro-2H-indol-2-one",C1=CC2=C(C=C1Cl)C(=CC3=CC(=C(C(=C3)Cl)O)Cl)C(=O)N2
375,852547-30-9,"5-Chloro-3-[(3,5-dichloro-4-hydroxyphenyl)methylidene]-1,3-dihydro-2H-indol-2-one",C1=CC2=C(C=C1Cl)/C(=C\C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
376,852547-30-9,"5-Chloro-3-[(3,5-dichloro-4-hydroxyphenyl)methylidene]-1,3-dihydro-2H-indol-2-one",C1=CC2=C(C=C1Cl)/C(=C/C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
377,852547-30-9,"Pkr inhibitor,negative control",C1=CC2=C(C=C1Cl)C(=CC3=CC(=C(C(=C3)Cl)O)Cl)C(=O)N2
378,852547-30-9,"Pkr inhibitor,negative control",C1=CC2=C(C=C1Cl)/C(=C\C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
379,852547-30-9,"Pkr inhibitor,negative control",C1=CC2=C(C=C1Cl)/C(=C/C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
380,852547-30-9,"Pkr inhibitor,negative control",C1=CC2=C(C=C1Cl)C(=CC3=CC(=C(C(=C3)Cl)O)Cl)C(=O)N2
381,852547-30-9,"Pkr inhibitor,negative control",C1=CC2=C(C=C1Cl)/C(=C\C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
382,852547-30-9,"Pkr inhibitor,negative control",C1=CC2=C(C=C1Cl)/C(=C/C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
383,852547-30-9,"Pkr inhibitor,negative control",C1=CC2=C(C=C1Cl)C(=CC3=CC(=C(C(=C3)Cl)O)Cl)C(=O)N2
384,852547-30-9,"Pkr inhibitor,negative control",C1=CC2=C(C=C1Cl)/C(=C\C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
385,852547-30-9,"Pkr inhibitor,negative control",C1=CC2=C(C=C1Cl)/C(=C/C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
386,852547-30-9,"PKR Inhibitor, Negative Control",C1=CC2=C(C=C1Cl)C(=CC3=CC(=C(C(=C3)Cl)O)Cl)C(=O)N2
387,852547-30-9,"PKR Inhibitor, Negative Control",C1=CC2=C(C=C1Cl)/C(=C\C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
388,852547-30-9,"PKR Inhibitor, Negative Control",C1=CC2=C(C=C1Cl)/C(=C/C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
389,852547-30-9,"PKR Inhibitor, Negative Control",C1=CC2=C(C=C1Cl)C(=CC3=CC(=C(C(=C3)Cl)O)Cl)C(=O)N2
390,852547-30-9,"PKR Inhibitor, Negative Control",C1=CC2=C(C=C1Cl)/C(=C\C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
391,852547-30-9,"PKR Inhibitor, Negative Control",C1=CC2=C(C=C1Cl)/C(=C/C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
392,852547-30-9,"PKR Inhibitor, Negative Control",C1=CC2=C(C=C1Cl)C(=CC3=CC(=C(C(=C3)Cl)O)Cl)C(=O)N2
393,852547-30-9,"PKR Inhibitor, Negative Control",C1=CC2=C(C=C1Cl)/C(=C\C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
394,852547-30-9,"PKR Inhibitor, Negative Control",C1=CC2=C(C=C1Cl)/C(=C/C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2
395,626604-39-5,GSK-3beta Inhibitor XI,C1=CC2=C(N=C1)N(C=C2C3=C(C(=O)NC3=O)C4=NC=CN=C4)CCCO
396,199986-75-9,Cvt-313,CC(C)N1C=NC2=C(N=C(N=C21)N(CCO)CCO)NCC3=CC=C(C=C3)OC
397,478482-75-6,GSK-3 Inhibitor II,C1=CC(=CC(=C1)I)CSC2=NN=C(O2)C3=CC=NC=C3
