,Cas,Drug,SMILES
98,127243-85-0,protein kinase inhibitor H89,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC/C=C/C3=CC=C(C=C3)Br
99,127243-85-0,protein kinase inhibitor H89,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC/C=C/C3=CC=C(C=C3)Br.Cl.Cl
100,127243-85-0,H-89 Dihydrochloride,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC/C=C/C3=CC=C(C=C3)Br
101,127243-85-0,H-89 Dihydrochloride,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC/C=C/C3=CC=C(C=C3)Br.Cl.Cl
102,127243-85-0,H-89 Dihydrochloride,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC/C=C/C3=CC=C(C=C3)Br
103,127243-85-0,H-89 Dihydrochloride,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC/C=C/C3=CC=C(C=C3)Br.Cl.Cl
104,934358-00-6,Tetrabromocinnamic acid,C1=C(C(=C(C(=C1Br)Br)Br)Br)/C=C/C(=O)O
105,220749-41-7,3-[(2-chloro-1H-indol-3-yl)methylidene]-1H-indol-2-one,C1=CC=C2C(=C1)C(=CC3=C(NC4=CC=CC=C43)Cl)C(=O)N2
106,220749-41-7,3-[(2-chloro-1H-indol-3-yl)methylidene]-1H-indol-2-one,C1=CC=C2C(=C1)/C(=C\C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
107,220749-41-7,3-[(2-chloro-1H-indol-3-yl)methylidene]-1H-indol-2-one,C1=CC=C2C(=C1)/C(=C/C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
108,220749-41-7,3-[(2-chloro-1H-indol-3-yl)methylidene]-1H-indol-2-one,C1=CC=C2C(=C1)C(=CC3=C(NC4=CC=CC=C43)Cl)C(=O)N2
109,220749-41-7,3-[(2-chloro-1H-indol-3-yl)methylidene]-1H-indol-2-one,C1=CC=C2C(=C1)/C(=C\C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
110,220749-41-7,3-[(2-chloro-1H-indol-3-yl)methylidene]-1H-indol-2-one,C1=CC=C2C(=C1)/C(=C/C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
111,220749-41-7,3-[(2-chloro-1H-indol-3-yl)methylidene]-1H-indol-2-one,C1=CC=C2C(=C1)C(=CC3=C(NC4=CC=CC=C43)Cl)C(=O)N2
112,220749-41-7,3-[(2-chloro-1H-indol-3-yl)methylidene]-1H-indol-2-one,C1=CC=C2C(=C1)/C(=C\C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
113,220749-41-7,3-[(2-chloro-1H-indol-3-yl)methylidene]-1H-indol-2-one,C1=CC=C2C(=C1)/C(=C/C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
114,220749-41-7,Cdk1 inhibitor,C1=CC=C2C(=C1)C(=CC3=C(NC4=CC=CC=C43)Cl)C(=O)N2
115,220749-41-7,Cdk1 inhibitor,C1=CC=C2C(=C1)/C(=C\C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
116,220749-41-7,Cdk1 inhibitor,C1=CC=C2C(=C1)/C(=C/C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
117,220749-41-7,Cdk1 inhibitor,C1=CC=C2C(=C1)C(=CC3=C(NC4=CC=CC=C43)Cl)C(=O)N2
118,220749-41-7,Cdk1 inhibitor,C1=CC=C2C(=C1)/C(=C\C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
119,220749-41-7,Cdk1 inhibitor,C1=CC=C2C(=C1)/C(=C/C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
120,220749-41-7,Cdk1 inhibitor,C1=CC=C2C(=C1)C(=CC3=C(NC4=CC=CC=C43)Cl)C(=O)N2
121,220749-41-7,Cdk1 inhibitor,C1=CC=C2C(=C1)/C(=C\C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
122,220749-41-7,Cdk1 inhibitor,C1=CC=C2C(=C1)/C(=C/C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
123,220749-41-7,CID 5353486,C1=CC=C2C(=C1)C(=CC3=C(NC4=CC=CC=C43)Cl)C(=O)N2
124,220749-41-7,CID 5353486,C1=CC=C2C(=C1)/C(=C\C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
125,220749-41-7,CID 5353486,C1=CC=C2C(=C1)/C(=C/C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
126,220749-41-7,CID 5353486,C1=CC=C2C(=C1)C(=CC3=C(NC4=CC=CC=C43)Cl)C(=O)N2
127,220749-41-7,CID 5353486,C1=CC=C2C(=C1)/C(=C\C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
128,220749-41-7,CID 5353486,C1=CC=C2C(=C1)/C(=C/C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
129,220749-41-7,CID 5353486,C1=CC=C2C(=C1)C(=CC3=C(NC4=CC=CC=C43)Cl)C(=O)N2
130,220749-41-7,CID 5353486,C1=CC=C2C(=C1)/C(=C\C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
131,220749-41-7,CID 5353486,C1=CC=C2C(=C1)/C(=C/C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2
