,compound,gene,db,ctd,SMILES,n_db
4314,5-fluoro-2'-deoxyuridine-5'-monophosphate,THYA1,True,False,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=C(F)C(=O)NC1=O,1
4315,5-fluoro-2'-deoxyuridine-5'-monophosphate,THYX,True,False,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=C(F)C(=O)NC1=O,1
4316,5-fluoro-beta-l-gulosylFluoride,MAN2A1,True,False,[H][C@]1(O)[C@@]([H])(O)[C@]([H])(O)[C@](F)(CO)OC1([H])F,1
4317,5-fluoroindolePropanolPhosphate,TRPA,True,False,OP(O)(=O)OCCCC1=CNC2=C1C=C(F)C=C2,1
4318,5-fluoroindolePropanolPhosphate,TRPB,True,False,OP(O)(=O)OCCCC1=CNC2=C1C=C(F)C=C2,1
4319,5-fluorolevulinicAcid,HEMB,True,False,OC(=O)CCC(=O)CF,1
4320,5-fluorotryptophan,GSTM1,True,False,N[C@@H](CC1=CNC2=C1C=C(F)C=C2)C(O)=O,1
4321,5-fluorotryptophan,TPI1,True,False,N[C@@H](CC1=CNC2=C1C=C(F)C=C2)C(O)=O,1
4322,5-fluorouridine,UDP,True,False,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(F)C(=O)NC1=O,1
4323,5-formyl-2'-deoxyuridine5'-triphosphate,POLB,False,True,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,1
4324,"5-heptyl-6-hydroxy-1,3-benzothiazole-4,7-dione",CYC1,True,False,CCCCCCCC1=C(O)C2=C(SC=N2)C(=O)C1=O,1
4325,"5-heptyl-6-hydroxy-1,3-benzothiazole-4,7-dione",MT-CYB,True,False,CCCCCCCC1=C(O)C2=C(SC=N2)C(=O)C1=O,1
4326,"5-heptyl-6-hydroxy-1,3-benzothiazole-4,7-dione",UQCR10,True,False,CCCCCCCC1=C(O)C2=C(SC=N2)C(=O)C1=O,1
4327,"5-heptyl-6-hydroxy-1,3-benzothiazole-4,7-dione",UQCRB,True,False,CCCCCCCC1=C(O)C2=C(SC=N2)C(=O)C1=O,1
4328,"5-heptyl-6-hydroxy-1,3-benzothiazole-4,7-dione",UQCRFS1,True,False,CCCCCCCC1=C(O)C2=C(SC=N2)C(=O)C1=O,1
4329,5-hydroxy-2-(4-hydroxyphenyl)-1-benzofuran-7-carbonitrile,ESR2,True,False,OC1=CC=C(C=C1)C1=CC2=C(O1)C(=CC(O)=C2)C#N,1
4330,5-hydroxy-2-(4-hydroxyphenyl)-1-benzofuran-7-carbonitrile,NCOA1,True,False,OC1=CC=C(C=C1)C1=CC2=C(O1)C(=CC(O)=C2)C#N,1
4331,5-hydroxy-3-[(1r)-1-(1h-pyrrol-2-yl)ethyl]-2h-indol-2-one,PDPK1,True,False,[H][C@](C)(C1=CC=CN1)C1=C2C=C(O)C=CC2=NC1=O,1
4332,"5-hydroxy-4-(7-methoxy-1,1-dioxido-2h-1,2,4-benzothiadiazin-3-yl)-2-(3-methylbutyl)-6-phenylpyridazin-3(2h)-one",,True,False,COC1=CC=C2N=C(NS(=O)(=O)C2=C1)C1=C(O)C(=NN(CCC(C)C)C1=O)C1=CC=CC=C1,1
4333,5-hydroxy-n-propargyl-1(r)-aminoindan,MAOB,True,False,[H][C@]1(CCC2=CC=C(O)C=C12)NCC#C,1
4334,5-hydroxyflavone,CYP1B1,False,True,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=CC=C3O2)O,1
4335,"5-hydroxymethyl-5,6-dihydrofolicAcid",SHMT1,True,False,NC1=NC2=C(N(CO)[C@@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=N2)C(=O)N1,1
4336,"5-hydroxymethyl-5,6-dihydrofolicAcid",,True,False,NC1=NC2=C(N(CO)[C@@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=N2)C(=O)N1,1
4337,5-hydroxymethyl-chonduritol,AMY2A,True,False,[H][C@]1(O)C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O,1
4338,5-hydroxymethyl-chonduritol,AMY2B,True,False,[H][C@]1(O)C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O,1
4339,5-hydroxynaphthalene-1-sulfonamide,CDK2,True,False,NS(=O)(=O)C1=C2C=CC=C(O)C2=CC=C1,1
4340,5-hydroxythalidomide,ADH1B,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4341,5-hydroxythalidomide,ALDH1A1,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4342,5-hydroxythalidomide,ASS1,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4343,5-hydroxythalidomide,ATP5F1A,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
