,DrugBank ID,Name,Type,UniProt ID,UniProt Name,SMILES
10818,DB03496,Alvocidib,SmallMoleculeDrug,P00533,Epidermal growth factor receptor,CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl
10819,DB03496,Alvocidib,SmallMoleculeDrug,Q00535,Cyclin-dependent-like kinase 5,CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl
10820,DB03496,Alvocidib,SmallMoleculeDrug,P11217,"Glycogen phosphorylase, muscle form",CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl
10821,DB03496,Alvocidib,SmallMoleculeDrug,P24941,Cyclin-dependent kinase 2,CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl
10822,DB03496,Alvocidib,SmallMoleculeDrug,P06493,Cyclin-dependent kinase 1,CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl
10823,DB03496,Alvocidib,SmallMoleculeDrug,P50613,Cyclin-dependent kinase 7,CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl
10824,DB03496,Alvocidib,SmallMoleculeDrug,P50750,Cyclin-dependent kinase 9,CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl
10825,DB03496,Alvocidib,SmallMoleculeDrug,Q00534,Cyclin-dependent kinase 6,CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl
10826,DB03496,Alvocidib,SmallMoleculeDrug,P11802,Cyclin-dependent kinase 4,CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl
10827,DB03496,Alvocidib,SmallMoleculeDrug,P49336,Cyclin-dependent kinase 8,CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl
10828,DB03496,Alvocidib,SmallMoleculeDrug,P11216,"Glycogen phosphorylase, brain form",CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl
10829,DB03498,Mercaptomethyl Phosphonate,SmallMoleculeDrug,P00634,Alkaline phosphatase,[O-]P([O-])(=O)CS
10830,DB03499,D-Malic acid,SmallMoleculeDrug,P23368,"NAD-dependent malic enzyme, mitochondrial",O[C@H](CC(O)=O)C(O)=O
10831,DB03499,D-Malic acid,SmallMoleculeDrug,P74645,Circadian clock protein KaiB,O[C@H](CC(O)=O)C(O)=O
10832,DB03499,D-Malic acid,SmallMoleculeDrug,P9WK17,Malate synthase G,O[C@H](CC(O)=O)C(O)=O
10833,DB03499,D-Malic acid,SmallMoleculeDrug,P05042,Fumarate hydratase class II,O[C@H](CC(O)=O)C(O)=O
10834,DB03499,D-Malic acid,SmallMoleculeDrug,Q57265,Capsule biosynthesis protein,O[C@H](CC(O)=O)C(O)=O
10835,DB03499,D-Malic acid,SmallMoleculeDrug,O75390,"Citrate synthase, mitochondrial",O[C@H](CC(O)=O)C(O)=O
10836,DB03500,Tricosanoic acid,SmallMoleculeDrug,P32947,Lipase 3,CCCCCCCCCCCCCCCCCCCCCCC(O)=O
10837,DB03501,Galactose-uridine-5'-diphosphate,SmallMoleculeDrug,P16442,Histo-blood group ABO system transferase,OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O
10838,DB03501,Galactose-uridine-5'-diphosphate,SmallMoleculeDrug,P15291,"Beta-1,4-galactosyltransferase 1",OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O
10839,DB03501,Galactose-uridine-5'-diphosphate,SmallMoleculeDrug,Q14376,UDP-glucose 4-epimerase,OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O
10840,DB03502,(4s)-4-{[(2s)-2-Amino-3-Oxopropyl]Sulfanyl}-L-Homoserinate,SmallMoleculeDrug,P44801,Aspartate-semialdehyde dehydrogenase,[H][C@](O)(C[C@]([H])(N)C(O)=O)SC[C@]([H])(N)C(O)=O
10841,DB03503,"4-Acetyl-4-guanidino-6-methyl(propyl)carboxamide-4,5-dihydro-2H-pyran-2-carboxylic acid",SmallMoleculeDrug,P03472,Neuraminidase,CCCN(C)C(=O)[C@@H]1OC(=C[C@H](NC(N)=N)[C@H]1NC(C)=O)C(O)=O
10842,DB03504,"9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine",SmallMoleculeDrug,P07900,Heat shock protein HSP 90-alpha,CCCCN1C(CC2=CC(OC)=C(OC)C(OC)=C2Cl)=NC2=C(N)N=CN=C12
10843,DB03505,"2,6-diaminoquinazolin-4-ol",SmallMoleculeDrug,P28720,Queuine tRNA-ribosyltransferase,NC1=CC2=C(O)N=C(N)N=C2C=C1
10844,DB03506,9-Deazaadenine,SmallMoleculeDrug,P07741,Adenine phosphoribosyltransferase,
10845,DB03507,"6-[3-(4-Morpholinyl)Propyl]-2-(3-Nitrophenyl)-5-Thioxo-5,6,-Dihydro-7h-Thienol[2',3':4,5]Pyrrolo[1,2-C]Imidazol-7-One",SmallMoleculeDrug,P19438,Tumor necrosis factor receptor superfamily member 1A,[O-][N+](=O)C1=CC(=CC=C1)C1=CC2=C(S1)C=C1N2C(=S)N(CCCN2CCOCC2)C1=O
10846,DB03509,2-(4-Chlorophenyl)-5-Quinoxalinecarboxamide,SmallMoleculeDrug,P09874,Poly [ADP-ribose] polymerase 1,NC(=O)C1=CC=CC2=NC=C(N=C12)C1=CC=C(Cl)C=C1
10847,DB03510,6-O-Phosphoryl Inosine Monophosphate,SmallMoleculeDrug,Q8N142,Adenylosuccinate synthetase isozyme 1,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C2N=CN=C3OP(O)(O)=O)[C@]([H])(O)[C@]1([H])O
10848,DB03510,6-O-Phosphoryl Inosine Monophosphate,SmallMoleculeDrug,Q9U8D3,Adenylosuccinate synthetase,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C2N=CN=C3OP(O)(O)=O)[C@]([H])(O)[C@]1([H])O
10849,DB03512,"Uridine-2',3'-vanadate",SmallMoleculeDrug,P07998,Ribonuclease pancreatic,OC[C@@H]1O[C@H]([C@H]2O[V](O)(O)(=O)O[C@H]12)N1C=CC(=O)NC1=O
10850,DB03515,Equilenin,SmallMoleculeDrug,P07445,Steroid Delta-isomerase,[H][C@@]12CCC(=O)[C@@]1(C)CCC1=C2C=CC2=C1C=CC(O)=C2
10852,DB03516,Eniluracil,SmallMoleculeDrug,Q12882,Dihydropyrimidine dehydrogenase [NADP(+)],O=C1NC=C(C#C)C(=O)N1
10853,DB03516,Eniluracil,SmallMoleculeDrug,Q06278,Aldehyde oxidase,O=C1NC=C(C#C)C(=O)N1
10854,DB03516,Eniluracil,SmallMoleculeDrug,P47989,Xanthine dehydrogenase/oxidase,O=C1NC=C(C#C)C(=O)N1
10855,DB03517,[Methylthio]Acetate,SmallMoleculeDrug,P40859,Monomeric sarcosine oxidase,CSCC([O-])=O
10856,DB03518,Mevalonic acid,SmallMoleculeDrug,P13702,3-hydroxy-3-methylglutaryl-coenzyme A reductase,C[C@@](O)(CCO)CC(O)=O
10857,DB03522,Aspartic Acid-4-Carboxymethyl Ester,SmallMoleculeDrug,Q60099,(S)-2-haloacid dehalogenase,N[C@@H](CC(=O)OCC(O)=O)C(O)=O
10858,DB03523,Brequinar,SmallMoleculeDrug,Q02127,"Dihydroorotate dehydrogenase (quinone), mitochondrial",CC1=C(N=C2C=CC(F)=CC2=C1C(O)=O)C1=CC=C(C=C1)C1=CC=CC=C1F
10859,DB03524,"N-[3-[4-(3-aminopropyl)piperazin-1-yl]propyl]-3-[(2-thiophen-2-ylacetyl)amino]-5-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybenzamide",SmallMoleculeDrug,P01556,Cholera enterotoxin subunit B,NCCCN1CCN(CCCNC(=O)C2=CC(NC(=O)CC3=CC=CS3)=CC(O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)=C2)CC1
10860,DB03525,RU79073,SmallMoleculeDrug,P12931,Proto-oncogene tyrosine-protein kinase Src,OP(O)(=O)OC1=C2NCCCC2=CC=C1
10861,DB03526,AL5927,SmallMoleculeDrug,P00918,Carbonic anhydrase 2,COC1=CC=C(CNS(=O)(=O)C2=CC=C(S2)S(N)(=O)=O)C=C1
10862,DB03528,9-Beta-D-Xylofuranosyl-Adenine,SmallMoleculeDrug,P0ABP8,Purine nucleoside phosphorylase DeoD-type,[H][C@]1(CO)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@@]1([H])O
10863,DB03530,Acylated ceftazidime,SmallMoleculeDrug,P00811,Beta-lactamase,[H]N([H])C1=NC(=CS1)C(=N\OC(C)(C)C(O)=O)\C(=O)N([H])[C@H](C=O)[C@@]1([H])SCC(=C)C(=N1)C(O)=O
10864,DB03530,Acylated ceftazidime,SmallMoleculeDrug,P18357,Regulatory protein BlaR1,[H]N([H])C1=NC(=CS1)C(=N\OC(C)(C)C(O)=O)\C(=O)N([H])[C@H](C=O)[C@@]1([H])SCC(=C)C(=N1)C(O)=O
10865,DB03531,Flavin-adenine dinucleotide-N5-isobutyl ketone,SmallMoleculeDrug,P14920,D-amino-acid oxidase,CC(C)C(=O)N1C2=C(C=C(C)C(C)=C2)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)[N+]2=CN=C3C2=NC=NC3=N)C2=C1C([O-])=NC(=O)N2
10866,DB03532,Phosphomethylphosphonic acid guanylate ester,SmallMoleculeDrug,O08398,Cell division protein FtsZ,NC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](COP(O)(=O)CP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
10867,DB03533,Acetyleneurea,SmallMoleculeDrug,P22629,Streptavidin,[H][C@@]12NC(=O)N[C@]1([H])NC(=O)N2
10868,DB03534,3-[(Acetyl-Methyl-Amino)-Methyl]-4-Amino-N-Methyl-N-(1-Methyl-1h-Indol-2-Ylmethyl)-Benzamide,SmallMoleculeDrug,P0AEK4,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,CN(CC1=C(N)C=CC(=C1)C(=O)N(C)CC1=CC2=C(C=CC=C2)N1C)C(C)=O
10869,DB03535,Z-Pro-Prolinal,SmallMoleculeDrug,P48147,Prolyl endopeptidase,[H][C@]1(CCCN1C(=O)[C@]1([H])CCCN1C(=O)OCC1=CC=CC=C1)C=O
10871,DB03536,Benzyl N-[(2S)-5-(diaminomethylamino)-1-[[(2S)-4-fluoro-3-oxobutan-2-yl]amino]-1-oxopentan-2-yl]carbamate,SmallMoleculeDrug,P25779,Cruzipain,C[C@H](NC(=O)[C@H](CCCNC(N)N)NC(=O)OCC1=CC=CC=C1)C(=O)CF
10872,DB03536,Benzyl N-[(2S)-5-(diaminomethylamino)-1-[[(2S)-4-fluoro-3-oxobutan-2-yl]amino]-1-oxopentan-2-yl]carbamate,SmallMoleculeDrug,Q9UBX1,Cathepsin F,C[C@H](NC(=O)[C@H](CCCNC(N)N)NC(=O)OCC1=CC=CC=C1)C(=O)CF
10873,DB03539,2-(Acetylamino)-2-Deoxy-6-O-Methyl-Alpha-D-Allopyranose,SmallMoleculeDrug,Q13231,Chitotriosidase-1,[H][C@]1(O)[C@]([H])(O)[C@@]2([H])N=C(O[C@@]2([H])[C@]1([H])CO)N=C
10874,DB03540,Norcamphor,SmallMoleculeDrug,P00183,Camphor 5-monooxygenase,[H][C@]12CC[C@]([H])(C1)C(=O)C2
10875,DB03541,"10-Propargyl-5,8-Dideazafolic Acid",SmallMoleculeDrug,P0A884,Thymidylate synthase,[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(C=C1)N(CC#C)CC1=CC=C2NC(N)=NC(=O)C2=C1)C(O)=O
10878,DB03541,"10-Propargyl-5,8-Dideazafolic Acid",SmallMoleculeDrug,P16083,Ribosyldihydronicotinamide dehydrogenase [quinone],[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(C=C1)N(CC#C)CC1=CC=C2NC(N)=NC(=O)C2=C1)C(O)=O
10880,DB03541,"10-Propargyl-5,8-Dideazafolic Acid",SmallMoleculeDrug,P0CG22,Putative dehydrogenase/reductase SDR family member 4-like 1,[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(C=C1)N(CC#C)CC1=CC=C2NC(N)=NC(=O)C2=C1)C(O)=O
10881,DB03542,L-Myo-Inositol-1-Phosphate,SmallMoleculeDrug,P29218,Inositol monophosphatase 1,[H][C@]1(O)[C@]([H])(O)[C@]([H])(O)[C@]([H])(OP([O-])([O-])=O)[C@@]([H])(O)[C@]1([H])O
10882,DB03543,1-(O-Carboxy-Phenylamino)-1-Deoxy-D-Ribulose-5-Phosphate,SmallMoleculeDrug,Q56320,N-(5'-phosphoribosyl)anthranilate isomerase,[H][C@@](O)(CNC1=CC=CC=C1C(O)=O)[C@]([H])(O)[C@]([H])(O)COP(O)(O)=O
10883,DB03543,1-(O-Carboxy-Phenylamino)-1-Deoxy-D-Ribulose-5-Phosphate,SmallMoleculeDrug,P00909,Tryptophan biosynthesis protein TrpCF,[H][C@@](O)(CNC1=CC=CC=C1C(O)=O)[C@]([H])(O)[C@]([H])(O)COP(O)(O)=O
10884,DB03544,S-Phosphocysteine,SmallMoleculeDrug,P69795,"N,N'-diacetylchitobiose-specific phosphotransferase enzyme IIB component",N[C@@H](CSP(O)(O)=O)C(O)=O
10885,DB03544,S-Phosphocysteine,SmallMoleculeDrug,P0AF93,2-iminobutanoate/2-iminopropanoate deaminase,N[C@@H](CSP(O)(O)=O)C(O)=O
10886,DB03546,"N-({4-[(1R)-4-[(2R,4S,5S)-2,4-diamino-6-oxohexahydropyrimidin-5-yl]-1-(2,2,2-trifluoro-1,1-dihydroxyethyl)butyl]phenyl}carbonyl)-L-glutamic acid",SmallMoleculeDrug,P22102,Trifunctional purine biosynthetic protein adenosine-3,[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(C=C1)[C@@]([H])(CCCC1C(O)=N[C@]([H])(N)N[C@]1([H])N)C(O)(O)C(F)(F)F)C(O)=O
10887,DB03548,3-deoxy-alpha-D-manno-oct-2-ulopyranosonic acid,SmallMoleculeDrug,P06971,Ferrichrome-iron receptor,[H][C@@]1(O[C@](O)(C[C@@H](O)[C@H]1O)C(O)=O)[C@H](O)CO
10888,DB03549,Biotinyl P-Nitroaniline,SmallMoleculeDrug,P22629,Streptavidin,[H][C@@]1(CCCCC(=O)NC2=CC=C(C=C2)[N+]([O-])=O)SC[C@]2([H])NC(=O)N[C@]12[H]
10889,DB03551,"(3R,4R)-3-Hydroxy-4-(hydroxymethyl)-1-[(4-oxo-4,4a,5,7a-tetrahydro-3H-pyrrolo[3,2-d]pyrimidin-7-yl)methyl]pyrrolidinium",SmallMoleculeDrug,P00491,Purine nucleoside phosphorylase,[H]N1C=C(C[N+]2([H])C[C@H](O)[C@@H](CO)C2)C2N=CN([H])C(=O)C12
10891,DB03552,3-Tyrosine,SmallMoleculeDrug,P07101,Tyrosine 3-monooxygenase,N[C@@H](CC1=CC=CC(O)=C1)C(O)=O
10892,DB03553,Glutaric Acid,SmallMoleculeDrug,P00509,Aspartate aminotransferase,OC(=O)CCCC(O)=O
10893,DB03553,Glutaric Acid,SmallMoleculeDrug,P0AB80,Branched-chain-amino-acid aminotransferase,OC(=O)CCCC(O)=O
10894,DB03553,Glutaric Acid,SmallMoleculeDrug,P69908,Glutamate decarboxylase alpha,OC(=O)CCCC(O)=O
10895,DB03554,5-Iodouracil,SmallMoleculeDrug,Q12882,Dihydropyrimidine dehydrogenase [NADP(+)],IC1=CNC(=O)NC1=O
10896,DB03555,CRA_11092,SmallMoleculeDrug,P07477,Trypsin-1,[H][C@]1(C)CCCC[C@]1([H])OC1=CC=CC(C2=NC3=C(N2)C=C(F)C(=C3)C(N)=N)=C1O
10897,DB03556,"2-(2-{2-[2-(2-{2-[2-(2-Ethoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol, Polyethyleneglycol Peg400",SmallMoleculeDrug,P16152,Carbonyl reductase [NADPH] 1,CCOCCOCCOCCOCCOCCOCCOCCOCCO
10898,DB03556,"2-(2-{2-[2-(2-{2-[2-(2-Ethoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol, Polyethyleneglycol Peg400",SmallMoleculeDrug,Q9KL51,DevB protein,CCOCCOCCOCCOCCOCCOCCOCCOCCO
10899,DB03557,4-[[(2S)-1-[[6-[(1-Amino-1-oxo-3-sulfanylpropan-2-yl)amino]-6-oxohexyl]amino]-3-[4-[difluoro(phosphono)methyl]phenyl]-1-oxopropan-2-yl]amino]-3-[[2-[4-[difluoro(phosphono)methyl]phenyl]acetyl]amino]-4-oxobutanoic acid,SmallMoleculeDrug,P18031,Tyrosine-protein phosphatase non-receptor type 1,NC(=O)C(CS)NC(=O)CCCCCNC(=O)[C@H](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)NC(=O)C(CC(O)=O)NC(=O)CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O
10900,DB03558,SP-876,SmallMoleculeDrug,P0A884,Thymidylate synthase,OC(=O)CCNC(=O)[C@H]1CCCN1S(=O)(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
10901,DB03559,Cyclohexylformamide,SmallMoleculeDrug,P08319,Alcohol dehydrogenase 4,[H]C(=O)NC1CCCCC1
10902,DB03559,Cyclohexylformamide,SmallMoleculeDrug,P00326,Alcohol dehydrogenase 1C,[H]C(=O)NC1CCCCC1
10903,DB03562,Tetrahydrodeoxyuridine,SmallMoleculeDrug,P19079,Cytidine deaminase,[H]N1C(=O)CCN(C2C[C@H](O)[C@@H](CO)O2)C1=O
10904,DB03564,"(4r)-2-Methylpentane-2,4-Diol",SmallMoleculeDrug,P24300,Xylose isomerase,C[C@H](O)CC(C)(C)O
10905,DB03564,"(4r)-2-Methylpentane-2,4-Diol",SmallMoleculeDrug,P83849,1-pyrroline-5-carboxylate dehydrogenase,C[C@H](O)CC(C)(C)O
10906,DB03565,1-O-Octyl-2-Heptylphosphonyl-Sn-Glycero-3-Phosphoethanolamine,SmallMoleculeDrug,P04054,Phospholipase A2,[H][C@@](COCCCCCCCC)(COP(O)(=O)OCCN)OP(O)(=O)CCCCCCC
10907,DB03566,Spermidine,SmallMoleculeDrug,P23181,Gentamicin 3-N-acetyltransferase,NCCCCNCCCN
10908,DB03566,Spermidine,SmallMoleculeDrug,Q16881,"Thioredoxin reductase 1, cytoplasmic",NCCCCNCCCN
10909,DB03566,Spermidine,SmallMoleculeDrug,P0AFK9,Spermidine/putrescine-binding periplasmic protein,NCCCCNCCCN
10910,DB03566,Spermidine,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,NCCCCNCCCN
10911,DB03566,Spermidine,SmallMoleculeDrug,P07550,Beta-2 adrenergic receptor,NCCCCNCCCN
10912,DB03568,Butyric Acid,SmallMoleculeDrug,Q53464,(S)-2-haloacid dehalogenase,CCCC(O)=O
10913,DB03568,Butyric Acid,SmallMoleculeDrug,P06276,Cholinesterase,CCCC(O)=O
10914,DB03568,Butyric Acid,SmallMoleculeDrug,P96965,"2-hydroxy-6-oxo-7-methylocta-2,4-dienoate hydrolase",CCCC(O)=O
10915,DB03569,"4,5-Dehydro-L-Iduronic Acid",SmallMoleculeDrug,Q59288,Chondroitinase-AC,[H][C@@]1(O)OC(C(O)=O)=C(O)[C@]([H])(O)[C@@]1([H])O
10916,DB03570,Tris-Hydroxymethyl-Methyl-Ammonium,SmallMoleculeDrug,P00282,Azurin,C[N+](CO)(CO)CO
10917,DB03570,Tris-Hydroxymethyl-Methyl-Ammonium,SmallMoleculeDrug,P25053,Thiazole tautomerase,C[N+](CO)(CO)CO
10918,DB03570,Tris-Hydroxymethyl-Methyl-Ammonium,SmallMoleculeDrug,Q5SHF5,Pantothenate synthetase,C[N+](CO)(CO)CO
10919,DB03571,"3-(5-amino-7-hydroxy-[1,2,3]triazolo[4,5-d]pyrimidin-2-yl)-N-(3,5-dichlorobenzyl)-benzamide",SmallMoleculeDrug,P56740,Dihydroneopterin aldolase,NC1=NC2=NN(N=C2C(O)=N1)C1=CC(=CC=C1)C(=O)NCC1=CC(Cl)=CC(Cl)=C1
10920,DB03572,FR230513,SmallMoleculeDrug,P00813,Adenosine deaminase,[H][C@](CO)(CCC1=CC=CC2=C1C=CC=C2)N1C=NC(=C1)C(N)=O
10921,DB03573,WRR-99,SmallMoleculeDrug,P25779,Cruzipain,[H][C@](O)(CC(O)=O)C(=O)N[C@]([H])(CCC1=CC=CC=C1)C(=O)NCCC(C)C
10922,DB03573,WRR-99,SmallMoleculeDrug,Q9UBX1,Cathepsin F,[H][C@](O)(CC(O)=O)C(=O)N[C@]([H])(CCC1=CC=CC=C1)C(=O)NCCC(C)C
10923,DB03574,Ferricrocin-iron,SmallMoleculeDrug,P06971,Ferrichrome-iron receptor,[Fe].[H][C@@]1(CCCN(O)C(C)=[OH+])NC(=O)CNC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@]([H])(CCCN(O)C(C)=[OH+])NC(=O)[C@]([H])(CCCN(O)C(C)=[OH+])NC1=O
10924,DB03575,Phencyclidine,SmallMoleculeDrug,Q99720,Sigma non-opioid intracellular receptor 1,C1CCN(CC1)C1(CCCCC1)C1=CC=CC=C1
10925,DB03575,Phencyclidine,SmallMoleculeDrug,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A",C1CCN(CC1)C1(CCCCC1)C1=CC=CC=C1
10926,DB03576,N-Pyridoxyl-Threonine-5-Monophosphate,SmallMoleculeDrug,Q9X266,L-allo-threonine aldolase,CC(O)C(NCC1=C(COP(O)(O)=O)C=NC(C)=C1O)C(O)=O
10927,DB03577,Alpha-Benzyl-Aminobenzyl-Phosphonic Acid,SmallMoleculeDrug,P15309,Prostatic acid phosphatase,[H][C@](NCC1=CC=CC=C1)(C1=CC=CC=C1)P(O)(O)=O
10928,DB03581,Glucose-6-Phosphate,SmallMoleculeDrug,P06744,Glucose-6-phosphate isomerase,[H]C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
10929,DB03581,Glucose-6-Phosphate,SmallMoleculeDrug,P17169,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],[H]C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
10930,DB03582,N~2~-Succinylornithine,SmallMoleculeDrug,P76216,N-succinylarginine dihydrolase,NCCC[C@H](NC(=O)CCC(O)=O)C(O)=O
10931,DB03583,"(2E,3S)-3-hydroxy-5'-[(4-hydroxypiperidin-1-yl)sulfonyl]-3-methyl-1,3-dihydro-2,3'-biindol-2'(1'H)-one",SmallMoleculeDrug,P24941,Cyclin-dependent kinase 2,[H]N1C(=O)\C(C2=C1C=CC(=C2)S(=O)(=O)N1CCC(O)CC1)=C1/N([H])C2=CC=CC=C2[C@]1(C)O
10932,DB03584,4-Thio-beta-D-glucopyranose,SmallMoleculeDrug,O85465,Endoglucanase 5A,[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(S)[C@]([H])(O)[C@@]1([H])O
10933,DB03584,4-Thio-beta-D-glucopyranose,SmallMoleculeDrug,P37698,Endoglucanase F,[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(S)[C@]([H])(O)[C@@]1([H])O
10934,DB03584,4-Thio-beta-D-glucopyranose,SmallMoleculeDrug,P37700,Endoglucanase G,[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(S)[C@]([H])(O)[C@@]1([H])O
10935,DB03584,4-Thio-beta-D-glucopyranose,SmallMoleculeDrug,Q79G13,"Possible cellulase CelA1 (Endoglucanase) (Endo-1,4-beta-glucanase) (FI-cmcase) (Carboxymethyl cellulase)",[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(S)[C@]([H])(O)[C@@]1([H])O
10936,DB03585,Oxyphenbutazone,SmallMoleculeDrug,Q9NZK7,Group IIE secretory phospholipase A2,CCCCC1C(=O)N(N(C1=O)C1=CC=C(O)C=C1)C1=CC=CC=C1
10937,DB03586,"(3R,4R,5S,6R)-6-Fluoro-3,4,5-trihydroxytetrahydro-2H-pyran-2-olate",SmallMoleculeDrug,P31434,Alpha-xylosidase,[H][C@]1(F)OC([O-])[C@H](O)[C@@H](O)[C@@H]1O
10938,DB03587,Pyruvaldehyde,SmallMoleculeDrug,P04054,Phospholipase A2,CC(=O)C=O
10939,DB03588,Diphenylacetic acid,SmallMoleculeDrug,P07858,Cathepsin B,OC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
10940,DB03589,Mesoxalic acid,SmallMoleculeDrug,P23368,"NAD-dependent malic enzyme, mitochondrial",OC(=O)C(=O)C(O)=O
10941,DB03590,"2,6-Diaminopimelic Acid",SmallMoleculeDrug,P22188,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O
10942,DB03590,"2,6-Diaminopimelic Acid",SmallMoleculeDrug,P04964,Meso-diaminopimelate D-dehydrogenase,N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O
10943,DB03591,RU82209,SmallMoleculeDrug,P12931,Proto-oncogene tyrosine-protein kinase Src,CC(=O)N[C@@H](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)C(=O)N[C@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
10944,DB03592,Pterin-6-Yl-Methyl-Monophosphate,SmallMoleculeDrug,P9WND1,Dihydropteroate synthase,NC1=NC2=NC=C(COP(O)(O)=O)N=C2C(=O)N1
10946,DB03593,7-methyl-5'-guanylic acid,SmallMoleculeDrug,Q96C86,m7GpppX diphosphatase,C[N+]1=CN([C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C2=C1C(=O)NC(N)=N2
10947,DB03594,"1,2,4-Triazole",SmallMoleculeDrug,P00918,Carbonic anhydrase 2,N1C=NC=N1
10948,DB03595,CRA_9785,SmallMoleculeDrug,P07477,Trypsin-1,NC(=[NH2+])C1=CC=C2NC(=NC2=C1)C1=CC(OC(F)(F)F)=CC=C1[O-]
10949,DB03596,N-[2-(1h-Indol-5-Yl)-Butyl]-4-Sulfamoyl-Benzamide,SmallMoleculeDrug,P00918,Carbonic anhydrase 2,[H][C@@](CC)(CNC(=O)C1=CC=C(C=C1)S(N)(=O)=O)C1=CC2=C(NC=C2)C=C1
