,DrugBank ID,Name,Type,UniProt ID,UniProt Name,SMILES
241,DB00099,Filgrastim,BiotechDrug,Q99062,Granulocyte colony-stimulating factor receptor,
242,DB00100,Coagulation Factor IX (Recombinant),BiotechDrug,P00742,Coagulation factor X,
243,DB00100,Coagulation Factor IX (Recombinant),BiotechDrug,P03951,Coagulation factor XI,
244,DB00100,Coagulation Factor IX (Recombinant),BiotechDrug,P08709,Coagulation factor VII,
245,DB00100,Coagulation Factor IX (Recombinant),BiotechDrug,P00451,Coagulation factor VIII,
246,DB00100,Coagulation Factor IX (Recombinant),BiotechDrug,P00734,Prothrombin,
247,DB00100,Coagulation Factor IX (Recombinant),BiotechDrug,Q07954,Prolow-density lipoprotein receptor-related protein 1,
248,DB00100,Coagulation Factor IX (Recombinant),BiotechDrug,P38435,Vitamin K-dependent gamma-carboxylase,
249,DB00102,Becaplermin,BiotechDrug,P09619,Platelet-derived growth factor receptor beta,
250,DB00102,Becaplermin,BiotechDrug,P16234,Platelet-derived growth factor receptor alpha,
251,DB00102,Becaplermin,BiotechDrug,P01023,Alpha-2-macroglobulin,
252,DB00105,Interferon alfa-2b,BiotechDrug,P48551,Interferon alpha/beta receptor 2,
253,DB00105,Interferon alfa-2b,BiotechDrug,P17181,Interferon alpha/beta receptor 1,
254,DB00106,Abarelix,SmallMoleculeDrug,P30968,Gonadotropin-releasing hormone receptor,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
255,DB00107,Oxytocin,BiotechDrug,P30559,Oxytocin receptor,
256,DB00107,Oxytocin,BiotechDrug,P01178,Oxytocin-neurophysin 1,
257,DB00108,Natalizumab,BiotechDrug,P13612,Integrin alpha-4,
258,DB00108,Natalizumab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,
259,DB00108,Natalizumab,BiotechDrug,P05362,Intercellular adhesion molecule 1,
260,DB00108,Natalizumab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I,
261,DB00109,Enfuvirtide,BiotechDrug,Q53I07,Envelope glycoprotein,
262,DB00110,Palivizumab,BiotechDrug,P13843,Fusion glycoprotein F0,
263,DB00110,Palivizumab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I,
264,DB00110,Palivizumab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,
265,DB00110,Palivizumab,BiotechDrug,P00736,Complement C1r subcomponent,
266,DB00110,Palivizumab,BiotechDrug,P02745,Complement C1q subcomponent subunit A,
